Study,Date,Hours
Data Science,8/17,4.8
Leitura,8/17,0
Japanese,8/17,0
SQL,8/17,0
Python,8/17,0
Faculdade,8/17,0
Other,8/17,0
Soft Skills,8/17,0
PowerBI,8/17,0
Planning,8/17,0
Data Science,8/18,1.9
Leitura,8/18,0
Japanese,8/18,0
SQL,8/18,0
Python,8/18,0
Faculdade,8/18,0
Other,8/18,0
Soft Skills,8/18,0
PowerBI,8/18,0
Planning,8/18,0.3
Data Science,8/19,3.4
Leitura,8/19,0
Japanese,8/19,0
SQL,8/19,0
Python,8/19,0
Faculdade,8/19,3.36
Other,8/19,0
Soft Skills,8/19,0
PowerBI,8/19,0
Planning,8/19,0.2
Data Science,8/20,3.75
Leitura,8/20,0
Japanese,8/20,0
SQL,8/20,0
Python,8/20,0
Faculdade,8/20,0
Other,8/20,0
Soft Skills,8/20,0
PowerBI,8/20,0
Planning,8/20,0
Data Science,8/21,2
Leitura,8/21,0
Japanese,8/21,0
SQL,8/21,0
Python,8/21,0
Faculdade,8/21,1.15
Other,8/21,0
Soft Skills,8/21,0
PowerBI,8/21,5.93
Planning,8/21,0
Data Science,8/22,3.25
Leitura,8/22,0
Japanese,8/22,0
SQL,8/22,0
Python,8/22,0
Faculdade,8/22,0
Other,8/22,1.25
Soft Skills,8/22,0
PowerBI,8/22,2.33
Planning,8/22,0
Data Science,8/23,0
Leitura,8/23,0
Japanese,8/23,0
SQL,8/23,0
Python,8/23,0
Faculdade,8/23,0
Other,8/23,0
Soft Skills,8/23,0
PowerBI,8/23,0
Networking and linkedin,8/23,4
Planning,8/23,0
Data Science,8/24,0
Leitura,8/24,0
Japanese,8/24,0
SQL,8/24,0
Python,8/24,0
Faculdade,8/24,1.6
Other,8/24,0.16
Soft Skills,8/24,0
PowerBI,8/24,0
Networking and linkedin,8/24,3.1
Planning,8/24,0
Data Science,8/25,0
Leitura,8/25,0.25
Japanese,8/25,0
SQL,8/25,0
Python,8/25,0
Faculdade,8/25,2
Other,8/25,0
Soft Skills,8/25,0
PowerBI,8/25,0
Networking and linkedin,8/25,0.6
Planning,8/25,0
Data Science,8/26,0
Leitura,8/26,0
Japanese,8/26,0
SQL,8/26,0
Python,8/26,0
Faculdade,8/26,2.33
Other,8/26,1
Soft Skills,8/26,0
PowerBI,8/26,0
Networking and linkedin,8/26,0.85
Planning,8/26,0.25
Data Science,8/27,0
Leitura,8/27,0
Japanese,8/27,0
SQL,8/27,0
Python,8/27,0
Faculdade,8/27,1.42
Other,8/27,4
Soft Skills,8/27,0
PowerBI,8/27,0
Networking and linkedin,8/27,0.22
Planning,8/27,0
Data Science,8/28,1.32
Leitura,8/28,0.33
Japanese,8/28,0
SQL,8/28,0
Python,8/28,1.5
Faculdade,8/28,3.39
Other,8/28,0
Soft Skills,8/28,0
PowerBI,8/28,0
Networking and linkedin,8/28,0.45
Planning,8/28,0.25
Data Science,8/29,0
Leitura,8/29,0
Japanese,8/29,0
SQL,8/29,0
Python,8/29,0
Faculdade,8/29,1.75
Other,8/29,0
Soft Skills,8/29,0
PowerBI,8/29,0
Networking and linkedin,8/29,3.9
Planning,8/29,0
Data Science,8/30,0.4
Leitura,8/30,0
Japanese,8/30,0
SQL,8/30,0
Python,8/30,0
Faculdade,8/30,1.1
Other,8/30,0.5
Soft Skills,8/30,0.25
PowerBI,8/30,0
Networking and linkedin,8/30,0.25
Planning,8/30,0
Data Science,8/31,0
Leitura,8/31,0
Japanese,8/31,0
SQL,8/31,0
Python,8/31,0
Faculdade,8/31,0
Other,8/31,2.75
Soft Skills,8/31,0
PowerBI,8/31,0
Networking and linkedin,8/31,0
Planning,8/31,0
Data Science,9/1,0
Leitura,9/1,0
Japanese,9/1,0
SQL,9/1,0
Python,9/1,0
Faculdade,9/1,0
Other,9/1,0
Soft Skills,9/1,0
PowerBI,9/1,0
Networking and linkedin,9/1,0
Planning,9/1,0.5
Data Science,9/2,1.1
Leitura,9/2,0
Japanese,9/2,0
SQL,9/2,0
Python,9/2,0
Faculdade,9/2,2.75
Other,9/2,0
Soft Skills,9/2,0
PowerBI,9/2,0
Networking and linkedin,9/2,1
Planning,9/2,0.75
Data Science,9/3,0
Leitura,9/3,0
Japanese,9/3,0
SQL,9/3,0
Python,9/3,0
Faculdade,9/3,2.4
Other,9/3,0.83
Soft Skills,9/3,0
PowerBI,9/3,0
Networking and linkedin,9/3,0
Planning,9/3,0
Data Science,9/4,0.17
Leitura,9/4,0.18
Japanese,9/4,0
SQL,9/4,0
Python,9/4,0.5
Faculdade,9/4,0.83
Other,9/4,0
Soft Skills,9/4,0
PowerBI,9/4,0
Networking and linkedin,9/4,0.7
